City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto natales,-51.7236,-72.4875,66.65,52,75,24.16,CL,1707857163
84,gadzhiyevo,69.2551,33.3362,-0.83,97,99,14.54,RU,1707857165
85,anadyr,64.75,177.4833,-17.9,75,40,13.42,RU,1707857165
86,san martin de los andes,-40.1604,-71.3486,89.65,29,14,5.88,AR,1707857165
87,puerto ayora,-0.7393,-90.3518,84.54,90,38,7.0,EC,1707857165
88,cabo san lucas,22.8909,-109.9124,75.61,56,40,9.22,MX,1707857165
89,petropavlovsk-kamchatsky,53.0452,158.6483,-5.55,88,20,8.95,RU,1707857166
90,olonkinbyen,70.9221,-8.7187,29.43,97,100,14.36,SJ,1707857166
91,vernon,50.2581,-119.2691,40.3,65,83,3.44,CA,1707857020
92,tchintabaraden,15.8969,5.7985,76.35,11,66,11.48,NE,1707857166
93,akureyri,65.6835,-18.0878,28.33,86,75,9.22,IS,1707857166
94,puerto baquerizo moreno,-0.9,-89.6,85.19,70,40,13.8,EC,1707857166
95,usinsk,65.9939,57.5281,-20.92,98,5,4.0,RU,1707857166
96,balqash,46.8481,74.995,11.41,88,100,6.17,KZ,1707857167
97,laojunmiao,39.8333,97.7333,21.2,74,41,0.63,CN,1707857167
98,port saint john's,-31.6229,29.5448,73.26,89,44,5.77,ZA,1707857167
99,greymouth,-42.4667,171.2,60.17,73,8,1.19,NZ,1707857167
100,mata-utu,-13.2816,-176.1745,83.34,78,93,18.28,WF,1707857167
101,siguiri,11.6667,-9.5,84.9,9,0,2.44,GN,1707857167
102,qashyr,53.0675,76.1036,21.49,69,100,23.09,KZ,1707857167
103,dahab,28.501,34.5134,66.96,71,20,2.48,EG,1707857168
104,inarajan village,13.2736,144.7484,79.77,76,86,21.16,GU,1707857168
105,chickasha,35.0526,-97.9364,60.96,31,0,11.5,US,1707857168
106,ashkelon,31.6693,34.5715,64.29,84,81,15.01,IL,1707857168
107,mansa,29.9833,75.3833,51.48,33,0,3.36,IN,1707857168
108,dalian,38.9122,121.6022,37.33,100,75,8.95,CN,1707857169
109,saipan,15.1355,145.701,74.1,94,75,20.71,MP,1707857133
110,tsiombe,-25.3,45.4833,76.03,86,98,14.7,MG,1707857169
111,buka,40.8108,69.1986,49.05,49,96,1.32,UZ,1707857169
112,freetown,8.484,-13.2299,79.39,80,36,8.72,SL,1707857169
113,gatton,-27.55,152.2833,71.42,77,77,1.23,AU,1707857169
114,iskateley,67.6803,53.1512,-20.97,98,9,8.01,RU,1707857170
115,longyearbyen,78.2186,15.6401,24.64,74,40,21.85,SJ,1707857170
116,bodaybo,57.8506,114.1933,0.5,92,100,8.32,RU,1707857170
117,ushuaia,-54.8,-68.3,62.22,55,40,25.32,AR,1707856903
118,isafjordur,66.0755,-23.124,22.48,78,30,8.84,IS,1707857170
119,lahij,13.1667,44.5833,72.54,80,11,6.2,YE,1707857170
